interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
CD47_SIRB1 complex,CD8_mem_T_cells.Macrophages,CD47_SIRB1 complex-CD8_mem_T_cells.Macrophages,0.1,0.723,0.138312586,-0.859138297
TNFSF14_TNFRSF14,CD8_mem_T_cells.Macrophages,TNFSF14_TNFRSF14-CD8_mem_T_cells.Macrophages,0.1,0.882,0.113378685,-0.945468585
CD2_CD58,CD8_mem_T_cells.Macrophages,CD2_CD58-CD8_mem_T_cells.Macrophages,0.1,2.814,0.035536603,-1.449324093
TNFSF14_LTBR,CD8_mem_T_cells.Melanocytes,TNFSF14_LTBR-CD8_mem_T_cells.Melanocytes,0.1,0.846,0.11820331,-0.927370363
PDCD1_FAM3C,CD8_mem_T_cells.Melanocytes,PDCD1_FAM3C-CD8_mem_T_cells.Melanocytes,0.1,0.92,0.108695652,-0.963787827
TNFSF14_TNFRSF14,CD8_mem_T_cells.Melanocytes,TNFSF14_TNFRSF14-CD8_mem_T_cells.Melanocytes,0.1,1.288,0.077639752,-1.109915863
CD2_CD58,CD8_mem_T_cells.Melanocytes,CD2_CD58-CD8_mem_T_cells.Melanocytes,0.1,2.466,0.0405515,-1.391993072
TGFB1_TGFbeta receptor2,CD8_mem_T_cells.Myofibroblasts,TGFB1_TGFbeta receptor2-CD8_mem_T_cells.Myofibroblasts,0.1,1.988,0.050301811,-1.29841638
TNFSF14_LTBR,CD8_mem_T_cells.Myofibroblasts,TNFSF14_LTBR-CD8_mem_T_cells.Myofibroblasts,0.1,1.042,0.09596929,-1.017867719
PDCD1_FAM3C,CD8_mem_T_cells.Myofibroblasts,PDCD1_FAM3C-CD8_mem_T_cells.Myofibroblasts,0.1,0.838,0.119331742,-0.923244019
TGFB1_TGFbeta receptor1,CD8_mem_T_cells.Myofibroblasts,TGFB1_TGFbeta receptor1-CD8_mem_T_cells.Myofibroblasts,0.1,2.019,0.04952947,-1.305136319
TNFSF14_TNFRSF14,CD8_mem_T_cells.Myofibroblasts,TNFSF14_TNFRSF14-CD8_mem_T_cells.Myofibroblasts,0.1,0.786,0.127226463,-0.895422546
LAMP1_FAM3C,CD8_mem_T_cells.Myofibroblasts,LAMP1_FAM3C-CD8_mem_T_cells.Myofibroblasts,0.1,0.776,0.128865979,-0.889861721
HLA-E_KLRC2,CD8_mem_T_cells.NK_cells,HLA-E_KLRC2-CD8_mem_T_cells.NK_cells,0.1,6.844,0.014611338,-1.835310001
PDCD1_FAM3C,CD8_mem_T_cells.NK_cells,PDCD1_FAM3C-CD8_mem_T_cells.NK_cells,0.1,0.989,0.101112235,-0.995196292
TGFB1_TGFBR3,CD8_mem_T_cells.NK_cells,TGFB1_TGFBR3-CD8_mem_T_cells.NK_cells,0.1,2.518,0.039714059,-1.401055726
ICAM3_aLb2 complex,CD8_mem_T_cells.NK_cells,ICAM3_aLb2 complex-CD8_mem_T_cells.NK_cells,0.1,0.832,0.120192308,-0.920123326
CD2_CD58,CD8_mem_T_cells.NK_cells,CD2_CD58-CD8_mem_T_cells.NK_cells,0.1,2.772,0.036075036,-1.442793226
HLA-C_FAM3C,CD8_mem_T_cells.NK_cells,HLA-C_FAM3C-CD8_mem_T_cells.NK_cells,0.1,24.634,0.00405943,-2.391534937
LAMP1_FAM3C,CD8_mem_T_cells.NK_cells,LAMP1_FAM3C-CD8_mem_T_cells.NK_cells,0.1,0.927,0.107874865,-0.967079734
PDCD1_FAM3C,CD8_mem_T_cells.Plasma_cells,PDCD1_FAM3C-CD8_mem_T_cells.Plasma_cells,0.1,0.691,0.1447178,-0.839478047
CD27_CD70,CD8_mem_T_cells.Plasma_cells,CD27_CD70-CD8_mem_T_cells.Plasma_cells,0.1,0.759,0.131752306,-0.880241776
TNFSF14_TNFRSF14,CD8_mem_T_cells.Plasma_cells,TNFSF14_TNFRSF14-CD8_mem_T_cells.Plasma_cells,0.1,0.779,0.128369705,-0.891537458
CD47_SIRPG,CD8_mem_T_cells.Tcell_prolif,CD47_SIRPG-CD8_mem_T_cells.Tcell_prolif,0.1,0.72,0.138888889,-0.857332496
CD28_CD80,CD8_mem_T_cells.Tcell_prolif,CD28_CD80-CD8_mem_T_cells.Tcell_prolif,0.1,1.061,0.094250707,-1.025715384
CCL5_CCR4,CD8_mem_T_cells.Tcell_prolif,CCL5_CCR4-CD8_mem_T_cells.Tcell_prolif,0.1,8.521,0.011735712,-1.930490565
PDCD1_FAM3C,CD8_mem_T_cells.Tcell_prolif,PDCD1_FAM3C-CD8_mem_T_cells.Tcell_prolif,0.1,0.609,0.164203612,-0.784617293
TNFSF14_TNFRSF14,CD8_mem_T_cells.Tcell_prolif,TNFSF14_TNFRSF14-CD8_mem_T_cells.Tcell_prolif,0.1,0.928,0.107758621,-0.967547976
ICAM3_aLb2 complex,CD8_mem_T_cells.Tcell_prolif,ICAM3_aLb2 complex-CD8_mem_T_cells.Tcell_prolif,0.1,0.983,0.1017294,-0.992553518
CD2_CD58,CD8_mem_T_cells.Tcell_prolif,CD2_CD58-CD8_mem_T_cells.Tcell_prolif,0.1,2.801,0.035701535,-1.447313109
CD27_CD70,CD8_mem_T_cells.Tregs,CD27_CD70-CD8_mem_T_cells.Tregs,0.1,1.035,0.096618357,-1.01494035
TNFSF14_TNFRSF14,CD8_mem_T_cells.Tregs,TNFSF14_TNFRSF14-CD8_mem_T_cells.Tregs,0.1,1.253,0.07980846,-1.097951071
ICAM3_aLb2 complex,CD8_mem_T_cells.Tregs,ICAM3_aLb2 complex-CD8_mem_T_cells.Tregs,0.1,0.878,0.113895216,-0.943494516
CD2_CD58,CD8_mem_T_cells.Tregs,CD2_CD58-CD8_mem_T_cells.Tregs,0.1,2.975,0.033613445,-1.47348697
CXCR3_CCL20,CD8_mem_T_cells.Tumor_1,CXCR3_CCL20-CD8_mem_T_cells.Tumor_1,0.1,5.03,0.019880716,-1.701567985
PDCD1_FAM3C,CD8_mem_T_cells.Tumor_1,PDCD1_FAM3C-CD8_mem_T_cells.Tumor_1,0.1,0.595,0.168067227,-0.774516966
TGFB1_aVb6 complex,CD8_mem_T_cells.Tumor_2,TGFB1_aVb6 complex-CD8_mem_T_cells.Tumor_2,0.1,2.106,0.047483381,-1.323458367
TNFSF14_LTBR,CD8_mem_T_cells.Tumor_2,TNFSF14_LTBR-CD8_mem_T_cells.Tumor_2,0.1,0.893,0.111982083,-0.950851459
CXCR6_CXCL16,CD8_mem_T_cells.Tumor_2,CXCR6_CXCL16-CD8_mem_T_cells.Tumor_2,0.1,1.051,0.095147479,-1.021602716
PDCD1_FAM3C,CD8_mem_T_cells.Tumor_2,PDCD1_FAM3C-CD8_mem_T_cells.Tumor_2,0.1,0.595,0.168067227,-0.774516966
CD6_ALCAM,CD8_mem_T_cells.Tumor_2,CD6_ALCAM-CD8_mem_T_cells.Tumor_2,0.1,1.855,0.053908356,-1.268343914
CD46_JAG1,CD8_mem_T_cells.Tumor_2,CD46_JAG1-CD8_mem_T_cells.Tumor_2,0.1,2.017,0.049578582,-1.304705898
CD2_CD58,CD8_mem_T_cells.Tumor_2,CD2_CD58-CD8_mem_T_cells.Tumor_2,0.1,2.613,0.038270188,-1.41713941
HLA-C_FAM3C,CD8_mem_T_cells.Tumor_2,HLA-C_FAM3C-CD8_mem_T_cells.Tumor_2,0.1,24.24,0.004125413,-2.384532615
CXCR6_CXCL16,CD8_mem_T_cells.pDCs,CXCR6_CXCL16-CD8_mem_T_cells.pDCs,0.1,1.582,0.063211125,-1.199206479
PDCD1_FAM3C,CD8_mem_T_cells.pDCs,PDCD1_FAM3C-CD8_mem_T_cells.pDCs,0.1,0.654,0.152905199,-0.815577748
CD2_CD58,CD8_mem_T_cells.pDCs,CD2_CD58-CD8_mem_T_cells.pDCs,0.1,2.512,0.039808917,-1.400019635
HLA-C_FAM3C,CD8_mem_T_cells.pDCs,HLA-C_FAM3C-CD8_mem_T_cells.pDCs,0.1,24.299,0.004115396,-2.385588401
LGALS9_CD47,DCs.B_cells,LGALS9_CD47-DCs.B_cells,0.1,1.328,0.075301205,-1.123198075
CCL22_DPP4,DCs.CAFs,CCL22_DPP4-DCs.CAFs,0.1,38.465,0.002599766,-2.585065737
PLD2_ARF1,DCs.CAFs,PLD2_ARF1-DCs.CAFs,0.1,2.463,0.040600893,-1.391464412
NOTCH2_IL24,DCs.CAFs,NOTCH2_IL24-DCs.CAFs,0.1,4.088,0.02446184,-1.611510887
LGALS9_SLC1A5,DCs.CAFs,LGALS9_SLC1A5-DCs.CAFs,0.1,0.526,0.190114068,-0.720985744
LGALS9_CD44,DCs.CAFs,LGALS9_CD44-DCs.CAFs,0.1,3.579,0.027940766,-1.553761698
TNFRSF1B_GRN,DCs.CAFs,TNFRSF1B_GRN-DCs.CAFs,0.1,1.922,0.052029136,-1.283753383
TNFRSF1A_GRN,DCs.CAFs,TNFRSF1A_GRN-DCs.CAFs,0.1,1.317,0.075930144,-1.119585775
FLT3_FLT3LG,DCs.CD4_T_cells,FLT3_FLT3LG-DCs.CD4_T_cells,0.1,0.692,0.144508671,-0.840106094
ADORA2A_ENTPD1,DCs.CD4_T_cells,ADORA2A_ENTPD1-DCs.CD4_T_cells,0.1,0.697,0.143472023,-0.843232778
PVR_TIGIT,DCs.CD4_T_cells,PVR_TIGIT-DCs.CD4_T_cells,0.1,1.923,0.05200208,-1.283979284
TNFRSF11B_TNFSF10,DCs.CD4_T_cells,TNFRSF11B_TNFSF10-DCs.CD4_T_cells,0.1,0.856,0.11682243,-0.932473765
ICAM1_ITGAL,DCs.CD4_T_cells,ICAM1_ITGAL-DCs.CD4_T_cells,0.1,1.238,0.080775444,-1.092720645
ICAM1_aLb2 complex,DCs.CD4_T_cells,ICAM1_aLb2 complex-DCs.CD4_T_cells,0.1,1.238,0.080775444,-1.092720645
FAM3C_CLEC2D,DCs.CD4_T_cells,FAM3C_CLEC2D-DCs.CD4_T_cells,0.1,2.084,0.047984645,-1.318897715
LGALS9_SLC1A5,DCs.CD8_act_T_cells,LGALS9_SLC1A5-DCs.CD8_act_T_cells,0.1,0.817,0.122399021,-0.912222057
ICAM1_ITGAL,DCs.CD8_act_T_cells,ICAM1_ITGAL-DCs.CD8_act_T_cells,0.1,1.427,0.070077085,-1.154423973
ICAM1_aLb2 complex,DCs.CD8_act_T_cells,ICAM1_aLb2 complex-DCs.CD8_act_T_cells,0.1,1.427,0.070077085,-1.154423973
ICAM1_AREG,DCs.CD8_act_T_cells,ICAM1_AREG-DCs.CD8_act_T_cells,0.1,1.719,0.058173357,-1.235275877
CD74_COPA,DCs.CD8_act_T_cells,CD74_COPA-DCs.CD8_act_T_cells,0.1,102.246,0.000978033,-3.009646327
PVR_CD226,DCs.CD8_ex_T_cells,PVR_CD226-DCs.CD8_ex_T_cells,0.1,0.538,0.185873606,-0.730782276
ADORA2A_NAMPT,DCs.CD8_ex_T_cells,ADORA2A_NAMPT-DCs.CD8_ex_T_cells,0.1,1.443,0.069300069,-1.159266331
CCL22_CCR4,DCs.CD8_ex_T_cells,CCL22_CCR4-DCs.CD8_ex_T_cells,0.1,38.759,0.002580046,-2.588372564
TNFSF9_TNFRSF9,DCs.CD8_ex_T_cells,TNFSF9_TNFRSF9-DCs.CD8_ex_T_cells,0.1,0.879,0.113765643,-0.943988875
TNFRSF11B_TNFSF10,DCs.CD8_ex_T_cells,TNFRSF11B_TNFSF10-DCs.CD8_ex_T_cells,0.1,0.92,0.108695652,-0.963787827
CD40_CD40LG,DCs.CD8_ex_T_cells,CD40_CD40LG-DCs.CD8_ex_T_cells,0.1,3.143,0.031816736,-1.497344381
ICAM1_SPN,DCs.CD8_ex_T_cells,ICAM1_SPN-DCs.CD8_ex_T_cells,0.1,1.284,0.07788162,-1.108565024
ICAM1_ITGAL,DCs.CD8_ex_T_cells,ICAM1_ITGAL-DCs.CD8_ex_T_cells,0.1,1.285,0.077821012,-1.108903128
ICAM1_aLb2 complex,DCs.CD8_ex_T_cells,ICAM1_aLb2 complex-DCs.CD8_ex_T_cells,0.1,1.285,0.077821012,-1.108903128
TNFRSF1A_FASLG,DCs.CD8_ex_T_cells,TNFRSF1A_FASLG-DCs.CD8_ex_T_cells,0.1,0.755,0.132450331,-0.877946952
CD74_APP,DCs.CD8_ex_T_cells,CD74_APP-DCs.CD8_ex_T_cells,0.1,102.119,0.00097925,-3.009106553
CD55_ADGRE5,DCs.CD8_ex_T_cells,CD55_ADGRE5-DCs.CD8_ex_T_cells,0.1,1.696,0.058962264,-1.229425848
CCL22_CCR4,DCs.CD8_mem_T_cells,CCL22_CCR4-DCs.CD8_mem_T_cells,0.1,38.754,0.002580379,-2.588316535
PVR_TIGIT,DCs.CD8_mem_T_cells,PVR_TIGIT-DCs.CD8_mem_T_cells,0.1,1.575,0.063492063,-1.197280558
TNFRSF11B_TNFSF10,DCs.CD8_mem_T_cells,TNFRSF11B_TNFSF10-DCs.CD8_mem_T_cells,0.1,0.72,0.138888889,-0.857332496
ICAM1_SPN,DCs.CD8_mem_T_cells,ICAM1_SPN-DCs.CD8_mem_T_cells,0.1,1.393,0.071787509,-1.143951116
ICAM1_ITGAL,DCs.CD8_mem_T_cells,ICAM1_ITGAL-DCs.CD8_mem_T_cells,0.1,1.24,0.080645161,-1.093421685
ICAM1_aLb2 complex,DCs.CD8_mem_T_cells,ICAM1_aLb2 complex-DCs.CD8_mem_T_cells,0.1,1.24,0.080645161,-1.093421685
TNFRSF1A_FASLG,DCs.CD8_mem_T_cells,TNFRSF1A_FASLG-DCs.CD8_mem_T_cells,0.1,0.926,0.107991361,-0.966610987
CD55_ADGRE5,DCs.CD8_mem_T_cells,CD55_ADGRE5-DCs.CD8_mem_T_cells,0.1,1.791,0.055834729,-1.253095586
IL15_IL15RA,DCs.DCs,IL15_IL15RA-DCs.DCs,0.1,1.253,0.07980846,-1.097951071
ADORA2A_ENTPD1,DCs.DCs,ADORA2A_ENTPD1-DCs.DCs,0.1,0.49,0.204081633,-0.69019608
PVR_TNFSF9,DCs.DCs,PVR_TNFSF9-DCs.DCs,0.1,0.542,0.184501845,-0.733999287
HLA-DPA1_TNFSF9,DCs.DCs,HLA-DPA1_TNFSF9-DCs.DCs,0.1,17.114,0.005843169,-2.233351528
TNFSF9_TNFRSF9,DCs.DCs,TNFSF9_TNFRSF9-DCs.DCs,0.1,0.686,0.145772595,-0.836324116
NRP2_SEMA3C,DCs.DCs,NRP2_SEMA3C-DCs.DCs,0.1,2.806,0.035637919,-1.448087667
SIRPA_CD47,DCs.DCs,SIRPA_CD47-DCs.DCs,0.1,1.096,0.091240876,-1.039810554
HLA-F_LILRB2,DCs.DCs,HLA-F_LILRB2-DCs.DCs,0.1,1.137,0.087950748,-1.055760465
TNFRSF1B_GRN,DCs.DCs,TNFRSF1B_GRN-DCs.DCs,0.1,1.949,0.051308363,-1.289811839
CXCL8_ACKR1,DCs.Endothelial,CXCL8_ACKR1-DCs.Endothelial,0.1,11.696,0.008549932,-2.06803736
NRP2_SEMA3F,DCs.Endothelial,NRP2_SEMA3F-DCs.Endothelial,0.1,2.683,0.037271711,-1.428620673
ADORA2A_ENTPD1,DCs.Endothelial,ADORA2A_ENTPD1-DCs.Endothelial,0.1,0.711,0.140646976,-0.851869601
PLD2_ARF1,DCs.Endothelial,PLD2_ARF1-DCs.Endothelial,0.1,2.382,0.041981528,-1.376941757
LGALS9_MET,DCs.Endothelial,LGALS9_MET-DCs.Endothelial,0.1,0.59,0.169491525,-0.770852012
NOTCH2_JAG2,DCs.Endothelial,NOTCH2_JAG2-DCs.Endothelial,0.1,0.57,0.175438596,-0.755874856
SEMA7A_a1b1 complex,DCs.Endothelial,SEMA7A_a1b1 complex-DCs.Endothelial,0.1,0.848,0.117924528,-0.928395852
TNFRSF11B_TNFSF10,DCs.Endothelial,TNFRSF11B_TNFSF10-DCs.Endothelial,0.1,1.397,0.071581961,-1.145196406
NRP2_PGF,DCs.Endothelial,NRP2_PGF-DCs.Endothelial,0.1,2.992,0.03342246,-1.475961589
SIRPA_CD47,DCs.Endothelial,SIRPA_CD47-DCs.Endothelial,0.1,1.108,0.090252708,-1.04453976
CD46_JAG1,DCs.Endothelial,CD46_JAG1-DCs.Endothelial,0.1,0.935,0.106951872,-0.970811611
TNFRSF1B_GRN,DCs.Endothelial,TNFRSF1B_GRN-DCs.Endothelial,0.1,2.097,0.047687172,-1.32159843
TNFRSF1A_GRN,DCs.Endothelial,TNFRSF1A_GRN-DCs.Endothelial,0.1,1.492,0.067024129,-1.173768823
ICAM1_aXb2 complex,DCs.Macrophages,ICAM1_aXb2 complex-DCs.Macrophages,0.1,2.182,0.045829514,-1.338854746
PLD2_ARF1,DCs.Macrophages,PLD2_ARF1-DCs.Macrophages,0.1,2.34,0.042735043,-1.369215857
TFRC_TNFSF13B,DCs.Macrophages,TFRC_TNFSF13B-DCs.Macrophages,0.1,0.967,0.103412616,-0.985426474
IL6 receptor_IL6,DCs.Macrophages,IL6 receptor_IL6-DCs.Macrophages,0.1,1.268,0.078864353,-1.103119254
TNFRSF1B_GRN,DCs.Macrophages,TNFRSF1B_GRN-DCs.Macrophages,0.1,2.569,0.038925652,-1.409764104
LGALS9_CD44,DCs.Melanocytes,LGALS9_CD44-DCs.Melanocytes,0.1,5.58,0.017921147,-1.746634199
COPA_SORT1,DCs.Melanocytes,COPA_SORT1-DCs.Melanocytes,0.1,0.514,0.194552529,-0.710963119
ICAM1_AREG,DCs.Melanocytes,ICAM1_AREG-DCs.Melanocytes,0.1,1.446,0.069156293,-1.160168293
LGALS9_CD47,DCs.Melanocytes,LGALS9_CD47-DCs.Melanocytes,0.1,0.944,0.105932203,-0.974971994
SIRPA_CD47,DCs.Melanocytes,SIRPA_CD47-DCs.Melanocytes,0.1,1.326,0.075414781,-1.122543524
IL15_IL15RA,DCs.Myofibroblasts,IL15_IL15RA-DCs.Myofibroblasts,0.1,1.28,0.078125,-1.10720997
LGALS9_LRP1,DCs.Myofibroblasts,LGALS9_LRP1-DCs.Myofibroblasts,0.1,0.709,0.141043724,-0.850646235
NRP2_VEGFA,DCs.Myofibroblasts,NRP2_VEGFA-DCs.Myofibroblasts,0.1,2.818,0.03548616,-1.449940989
SIRPA_CD47,DCs.Myofibroblasts,SIRPA_CD47-DCs.Myofibroblasts,0.1,0.968,0.103305785,-0.985875357
TNFRSF1B_GRN,DCs.Myofibroblasts,TNFRSF1B_GRN-DCs.Myofibroblasts,0.1,1.797,0.055648303,-1.254548077
ADORA2A_ENTPD1,DCs.NK_cells,ADORA2A_ENTPD1-DCs.NK_cells,0.1,1.152,0.086805556,-1.061452479
PLD2_ARF1,DCs.NK_cells,PLD2_ARF1-DCs.NK_cells,0.1,2.225,0.04494382,-1.347330015
SEMA7A_a1b1 complex,DCs.NK_cells,SEMA7A_a1b1 complex-DCs.NK_cells,0.1,0.972,0.102880658,-0.987666265
TNFSF9_TNFRSF9,DCs.NK_cells,TNFSF9_TNFRSF9-DCs.NK_cells,0.1,1.341,0.074571216,-1.127428778
HLA-E_KLRC1,DCs.NK_cells,HLA-E_KLRC1-DCs.NK_cells,0.1,5.597,0.017866714,-1.747955307
TNFRSF11B_TNFSF10,DCs.NK_cells,TNFRSF11B_TNFSF10-DCs.NK_cells,0.1,1.069,0.09354537,-1.028977705
ICAM1_SPN,DCs.NK_cells,ICAM1_SPN-DCs.NK_cells,0.1,1.282,0.07800312,-1.107888025
ICAM1_ITGAL,DCs.NK_cells,ICAM1_ITGAL-DCs.NK_cells,0.1,1.133,0.088261253,-1.05422991
ICAM1_aLb2 complex,DCs.NK_cells,ICAM1_aLb2 complex-DCs.NK_cells,0.1,1.133,0.088261253,-1.05422991
SIRPA_CD47,DCs.Plasma_cells,SIRPA_CD47-DCs.Plasma_cells,0.1,1.048,0.095419847,-1.020361283
CCL22_DPP4,DCs.Tcell_prolif,CCL22_DPP4-DCs.Tcell_prolif,0.1,38.361,0.002606814,-2.58388992
CD200_CD200R1,DCs.Tcell_prolif,CD200_CD200R1-DCs.Tcell_prolif,0.1,1.525,0.06557377,-1.183269844
IL15_IL15RA,DCs.Tcell_prolif,IL15_IL15RA-DCs.Tcell_prolif,0.1,1.213,0.082440231,-1.083860801
CCL22_CCR4,DCs.Tcell_prolif,CCL22_CCR4-DCs.Tcell_prolif,0.1,38.432,0.002601998,-2.584692986
TNFRSF11B_TNFSF10,DCs.Tcell_prolif,TNFRSF11B_TNFSF10-DCs.Tcell_prolif,0.1,0.648,0.154320988,-0.811575006
CD40_CD40LG,DCs.Tcell_prolif,CD40_CD40LG-DCs.Tcell_prolif,0.1,2.942,0.033990483,-1.468642668
ICAM1_SPN,DCs.Tcell_prolif,ICAM1_SPN-DCs.Tcell_prolif,0.1,1.21,0.082644628,-1.08278537
ICAM1_ITGAL,DCs.Tcell_prolif,ICAM1_ITGAL-DCs.Tcell_prolif,0.1,1.285,0.077821012,-1.108903128
ICAM1_aLb2 complex,DCs.Tcell_prolif,ICAM1_aLb2 complex-DCs.Tcell_prolif,0.1,1.285,0.077821012,-1.108903128
FAM3C_CLEC2D,DCs.Tcell_prolif,FAM3C_CLEC2D-DCs.Tcell_prolif,0.1,1.378,0.07256894,-1.139249218
ADORA2A_NAMPT,DCs.Tregs,ADORA2A_NAMPT-DCs.Tregs,0.1,1.264,0.079113924,-1.101747074
PVR_CD96,DCs.Tregs,PVR_CD96-DCs.Tregs,0.1,0.743,0.134589502,-0.870988814
TNFSF9_TNFRSF9,DCs.Tregs,TNFSF9_TNFRSF9-DCs.Tregs,0.1,1.17,0.085470085,-1.068185862
TNFRSF11B_TNFSF10,DCs.Tregs,TNFRSF11B_TNFSF10-DCs.Tregs,0.1,0.704,0.142045455,-0.847572659
LGALS9_CD44,DCs.Tregs,LGALS9_CD44-DCs.Tregs,0.1,3.418,0.029256875,-1.533772058
ICAM1_ITGAL,DCs.Tregs,ICAM1_ITGAL-DCs.Tregs,0.1,1.179,0.084817642,-1.071513805
ICAM1_aLb2 complex,DCs.Tregs,ICAM1_aLb2 complex-DCs.Tregs,0.1,1.179,0.084817642,-1.071513805
HLA-DPB1_NRG1,DCs.Tumor_1,HLA-DPB1_NRG1-DCs.Tumor_1,0.1,20.241,0.004940467,-2.306231965
TNFRSF11B_TNFSF10,DCs.Tumor_1,TNFRSF11B_TNFSF10-DCs.Tumor_1,0.1,0.94,0.106382979,-0.973127854
NRP2_VEGFA,DCs.Tumor_1,NRP2_VEGFA-DCs.Tumor_1,0.1,3.406,0.029359953,-1.532244644
SIRPA_CD47,DCs.Tumor_1,SIRPA_CD47-DCs.Tumor_1,0.1,1.086,0.092081031,-1.035829825
CD46_JAG1,DCs.Tumor_1,CD46_JAG1-DCs.Tumor_1,0.1,0.913,0.109529025,-0.960470778
PVR_TNFSF9,DCs.Tumor_2,PVR_TNFSF9-DCs.Tumor_2,0.1,0.516,0.19379845,-0.712649702
HLA-DPA1_TNFSF9,DCs.Tumor_2,HLA-DPA1_TNFSF9-DCs.Tumor_2,0.1,17.089,0.005851717,-2.23271665
LGALS9_LRP1,DCs.Tumor_2,LGALS9_LRP1-DCs.Tumor_2,0.1,0.521,0.19193858,-0.716837723
TNFRSF11B_TNFSF10,DCs.Tumor_2,TNFRSF11B_TNFSF10-DCs.Tumor_2,0.1,1.335,0.074906367,-1.125481266
NRP2_PGF,DCs.Tumor_2,NRP2_PGF-DCs.Tumor_2,0.1,2.609,0.038328862,-1.416474079
LGALS9_SLC1A5,DCs.Tumor_2,LGALS9_SLC1A5-DCs.Tumor_2,0.1,0.538,0.185873606,-0.730782276
NRP2_VEGFA,DCs.Tumor_2,NRP2_VEGFA-DCs.Tumor_2,0.1,2.74,0.03649635,-1.437750563
CD44_HBEGF,DCs.Tumor_2,CD44_HBEGF-DCs.Tumor_2,0.1,3.49,0.028653295,-1.542825427
ICAM1_AREG,DCs.Tumor_2,ICAM1_AREG-DCs.Tumor_2,0.1,2.976,0.033602151,-1.473632927
LGALS9_CD47,DCs.Tumor_2,LGALS9_CD47-DCs.Tumor_2,0.1,1.317,0.075930144,-1.119585775
SIRPA_CD47,DCs.Tumor_2,SIRPA_CD47-DCs.Tumor_2,0.1,1.699,0.058858152,-1.230193379
CD46_JAG1,DCs.Tumor_2,CD46_JAG1-DCs.Tumor_2,0.1,1.811,0.055218112,-1.25791845
PVR_TNFSF9,DCs.pDCs,PVR_TNFSF9-DCs.pDCs,0.1,0.578,0.173010381,-0.761927838
HLA-DPB1_TNFSF13B,DCs.pDCs,HLA-DPB1_TNFSF13B-DCs.pDCs,0.1,20.335,0.00491763,-2.308244177
HLA-DPA1_TNFSF9,DCs.pDCs,HLA-DPA1_TNFSF9-DCs.pDCs,0.1,17.15,0.005830904,-2.234264124
CD40_TNFSF13B,DCs.pDCs,CD40_TNFSF13B-DCs.pDCs,0.1,2.931,0.034118048,-1.467015818
LGALS9_HAVCR2,DCs.pDCs,LGALS9_HAVCR2-DCs.pDCs,0.1,0.566,0.176678445,-0.752816431
HLA-F_LILRB1,DCs.pDCs,HLA-F_LILRB1-DCs.pDCs,0.1,0.836,0.119617225,-0.922206277
ICAM1_SPN,DCs.pDCs,ICAM1_SPN-DCs.pDCs,0.1,1.476,0.067750678,-1.169086357
ICAM1_AREG,DCs.pDCs,ICAM1_AREG-DCs.pDCs,0.1,1.694,0.059031877,-1.228913406
TNFRSF1B_GRN,DCs.pDCs,TNFRSF1B_GRN-DCs.pDCs,0.1,3.29,0.030395137,-1.517195898
CXCL12_CXCR4,Endothelial.B_cells,CXCL12_CXCR4-Endothelial.B_cells,0.1,4.621,0.021640338,-1.664735969
LGALS9_CD47,Endothelial.B_cells,LGALS9_CD47-Endothelial.B_cells,0.1,1.142,0.087565674,-1.057666104
TNFRSF1A_GRN,Endothelial.B_cells,TNFRSF1A_GRN-Endothelial.B_cells,0.1,1.607,0.062227754,-1.206015877
LAMP1_FAM3C,Endothelial.B_cells,LAMP1_FAM3C-Endothelial.B_cells,0.1,0.905,0.110497238,-0.956648579
MET_HGF,Endothelial.CAFs,MET_HGF-Endothelial.CAFs,0.1,0.522,0.191570881,-0.717670503
COL21A1_a1b1 complex,Endothelial.CAFs,COL21A1_a1b1 complex-Endothelial.CAFs,0.1,0.519,0.192678227,-0.715167358
FGFR1_FGF7,Endothelial.CAFs,FGFR1_FGF7-Endothelial.CAFs,0.1,0.733,0.136425648,-0.865103975
LGALS9_MRC2,Endothelial.CAFs,LGALS9_MRC2-Endothelial.CAFs,0.1,0.638,0.156739812,-0.804820679
LGALS9_COLEC12,Endothelial.CAFs,LGALS9_COLEC12-Endothelial.CAFs,0.1,0.437,0.228832952,-0.640481437
JAM3_JAM3,Endothelial.CAFs,JAM3_JAM3-Endothelial.CAFs,0.1,0.545,0.183486239,-0.736396502
LGALS9_LRP1,Endothelial.CAFs,LGALS9_LRP1-Endothelial.CAFs,0.1,1,0.1,-1
LGALS9_PTPRK,Endothelial.CAFs,LGALS9_PTPRK-Endothelial.CAFs,0.1,0.577,0.173310225,-0.761175813
LGALS9_SLC1A5,Endothelial.CAFs,LGALS9_SLC1A5-Endothelial.CAFs,0.1,0.341,0.293255132,-0.532754379
LGALS9_CD44,Endothelial.CAFs,LGALS9_CD44-Endothelial.CAFs,0.1,3.393,0.029472443,-1.53058386
CD74_MIF,Endothelial.CAFs,CD74_MIF-Endothelial.CAFs,0.1,30.855,0.003240966,-2.489325551
PODXL_SELL,Endothelial.CD4_T_cells,PODXL_SELL-Endothelial.CD4_T_cells,0.1,2.427,0.041203131,-1.385069776
PVR_TIGIT,Endothelial.CD4_T_cells,PVR_TIGIT-Endothelial.CD4_T_cells,0.1,1.819,0.054975261,-1.259832699
