Ligand.Cellset,Receptor.Cellset,PreEffectiveScore,PreEffectiveNum,PreNonEffectiveScore,PreNonEffectiveNum,PreEffectiveVsNonEffectiveScoreRatio,PreEffectiveVsNonEffectiveNumRatio,PostEffectiveScore,PostEffectiveNum,PostNonEffectiveScore,PostNonEffectiveNum,EffectivePostVsPreScoreRatio,EffectivePostVsPreNumRatio,NonEffectivePostVsPreScoreRatio,NonEffectivePostVsPreNumRatio,ResVsNonResScoreRatio,ResVsNonResNumRatio
Myofibroblasts,Melanocytes,13.4640 ,12.0000 ,20.7920 ,13.0000 ,0.6476 ,0.9231 ,35.2570 ,12.0000 ,22.4100 ,14.0000 ,2.6186 ,1.0000 ,1.0778 ,1.0769 ,2.4295 ,0.9286 
Myofibroblasts,Myofibroblasts,58.4550 ,28.0000 ,165.6550 ,42.0000 ,0.3529 ,0.6667 ,155.6540 ,28.0000 ,144.3240 ,36.0000 ,2.6628 ,1.0000 ,0.8712 ,0.8571 ,3.0564 ,1.1667 
Myofibroblasts,NK_cells,44.3770 ,10.0000 ,182.0930 ,39.0000 ,0.2437 ,0.2564 ,186.4830 ,33.0000 ,37.3150 ,14.0000 ,4.2022 ,3.3000 ,0.2049 ,0.3590 ,20.5065 ,9.1929 
Myofibroblasts,Plasma_cells,19.4040 ,7.0000 ,4.6810 ,5.0000 ,4.1453 ,1.4000 ,26.5170 ,7.0000 ,3.6700 ,4.0000 ,1.3666 ,1.0000 ,0.7840 ,0.8000 ,1.7430 ,1.2500 
Myofibroblasts,Tcell_prolif,56.8100 ,21.0000 ,32.3090 ,15.0000 ,1.7583 ,1.4000 ,31.4610 ,11.0000 ,26.8320 ,12.0000 ,0.5538 ,0.5238 ,0.8305 ,0.8000 ,0.6668 ,0.6548 
Myofibroblasts,Tregs,17.8700 ,5.0000 ,20.7690 ,7.0000 ,0.8604 ,0.7143 ,27.8750 ,8.0000 ,26.7160 ,11.0000 ,1.5599 ,1.6000 ,1.2863 ,1.5714 ,1.2126 ,1.0182 
Myofibroblasts,Tumor_1,27.2280 ,19.0000 ,30.3010 ,17.0000 ,0.8986 ,1.1176 ,186.9470 ,39.0000 ,127.9090 ,32.0000 ,6.8660 ,2.0526 ,4.2213 ,1.8824 ,1.6265 ,1.0905 
Myofibroblasts,Tumor_2,78.0750 ,29.0000 ,174.3280 ,38.0000 ,0.4479 ,0.7632 ,40.3520 ,15.0000 ,129.8160 ,32.0000 ,0.5168 ,0.5172 ,0.7447 ,0.8421 ,0.6941 ,0.6142 
Myofibroblasts,pDCs,32.4390 ,13.0000 ,36.2890 ,17.0000 ,0.8939 ,0.7647 ,37.4340 ,14.0000 ,31.3540 ,16.0000 ,1.1540 ,1.0769 ,0.8640 ,0.9412 ,1.3356 ,1.1442 
NK_cells,B_cells,23.5260 ,6.0000 ,56.9350 ,11.0000 ,0.4132 ,0.5455 ,67.7560 ,11.0000 ,63.0890 ,9.0000 ,2.8800 ,1.8333 ,1.1081 ,0.8182 ,2.5991 ,2.2407 
